start	end	text
0	8520	things. Nick. Thanks, Inga, and good morning, everyone. I'll start on slide 7 with a recap
8520	15120	of our first quarter sales performance. As Inga mentioned, we posted strong organic growth in
15120	26140	the quarter of 4.6%, with volumes up 4.5% and selling prices up 0.1%. Divestitures of non-strategic
26140	33460	businesses, reduced sales by 0.4 percentage points, and foreign currency translation decreased sales
33460	42300	by another 50 basis points. As a result, total first quarter sales in U.S. dollars increased 3.7%
42300	49660	versus last year. As you can see on the right side of the slide, growth was broad-based across
49660	56780	all geographic areas. Let me start with the U.S., where organic growth was 1.4%,
56780	64500	led by mid-single-digit increases in both industrial and safety and graphics. Our electronics and energy
64500	71900	and healthcare businesses also delivered solid growth in the quarter. The consumer business
71900	78180	declined mid-single digits organically in Q1, impacted by channel adjustments in the office market,
78180	85140	as Inga mentioned. Asia-Pacific led the company with organic growth of 10.1%.
85140	91300	All business groups posted strong growth in the quarter, led by a double-digit increase in
91300	97680	electronics and energy. We also had strong growth in industrial, healthcare, and consumer.
99000	106400	Looking at key countries within Asia-Pacific, organic growth increased 13% in both China, Hong Kong,
106400	115300	and Japan. Excluding our electronics businesses, China-Hong Kong grew 12%, and Japan was up 2%.
115860	125180	Moving to EMEA, organic growth increased 4% in Q1. West Europe was up 5% organically,
125660	132560	with sales growth led by industrial and safety and graphics. Central East Europe and Middle East Africa
132560	142680	grew nearly 2%. Finally, organic growth in Latin America-Canada increased 2.3%, led by a high single-digit
142680	149680	growth in healthcare, along with solid growth in consumer and safety and graphics. At a country level,
149900	159560	Mexico continued to deliver strong growth at 8%. Canada was up 3%, while Brazil declined 3%.
159560	167580	Please turn to slide 8 for the first quarter P&L highlights. Company-wide, first quarter sales
167580	179540	were $7.7 billion, and net income increased 3.7% to $1.3 billion. GAP operating margins were 23.1%,
179540	188840	down 100 basis points versus last year's Q1. Earlier, you heard Inga mention the additional $136 million
188840	196440	of strategic investments we made in Q1 to strengthen 3M for the future, in terms of both growth and
196440	203000	productivity. Excluding the impact of these investments, margins were up 80 basis points
203000	208300	year over year, driven by strong organic growth and solid operational performance.
209280	214480	Let's take a closer look at the various components of our margin performance in the first quarter.
214480	222440	Organic growth, along with improved productivity, contributed 120 basis points to margins.
223640	228980	Lower raw material costs, net of selling price changes, added another 50 basis points.
230180	235760	Raw material prices remained favorable to start the year, as our global businesses again delivered
235760	238560	savings in excess of market price changes.
238560	245860	We expect raw material benefits to moderate as the year progresses, but still remain positive
245860	247120	for the full year.
248000	254760	Turning to headwinds, foreign currency, net of hedge gains, brought margins down 40 basis points
254760	255360	in the quarter.
256360	264140	As previously discussed, strategic investments impacted margins by 180 basis points, and higher pension
