variant,keyword,correct,missing,substituted,total
whisper-small,earnings,815,6,118,939
whisper-small,fiscal,1008,4,102,1114
whisper-small,sales,3182,24,246,3452
whisper-small,revenue,3134,11,245,3390
whisper-small,margin,2505,10,247,2762
whisper-small,price,1032,22,136,1190
whisper-small,operating,2075,9,160,2244
whisper-small,expenses,1050,0,127,1177
whisper-small,net,3587,18,388,3993
whisper-small,income,1986,9,228,2223
whisper-small,interest,496,7,37,540
whisper-small,tax,1042,9,84,1135
whisper-small,adjusted,1331,0,140,1471
whisper-small,cost,1822,25,158,2005
whisper-small,annual,506,3,56,565
whisper-small,capital,1459,20,150,1629
whisper-small,growth,5166,51,373,5590
whisper-small,dividend,750,18,175,943
whisper-small,cash,2792,22,349,3163
whisper-small,debt,991,0,74,1065
whisper-small,guidance,1362,13,171,1546
whisper-small,ebitda,1892,12,286,2190
whisper-small,shares,383,0,19,402
whisper-small,monthly,113,0,3,116
whisper-small,loss,374,0,55,429
whisper-small,liability,85,3,6,94
whisper-small,estimate,203,0,23,226
whisper-small,return,480,3,33,516
whisper-small,stock,298,0,26,324
whisper-small,profit,1085,0,85,1170
whisper-small,equity,561,9,57,627
whisper-small,unit,293,2,30,325
whisper-small,asset,398,2,52,452
whisper-small,forecast,365,0,101,466
whisper-small,ratio,737,3,45,785
whisper-small,ebit,293,0,18,311
whisper-small,valuation,33,0,6,39
whisper-large-v3-turbo,earnings,808,9,110,927
whisper-large-v3-turbo,fiscal,1006,1,107,1114
whisper-large-v3-turbo,sales,3266,10,236,3512
whisper-large-v3-turbo,revenue,3233,7,183,3423
whisper-large-v3-turbo,margin,2606,12,171,2789
whisper-large-v3-turbo,price,1077,16,115,1208
whisper-large-v3-turbo,operating,2112,6,156,2274
whisper-large-v3-turbo,expenses,1065,6,112,1183
whisper-large-v3-turbo,net,3621,12,352,3985
whisper-large-v3-turbo,income,1990,6,224,2220
whisper-large-v3-turbo,interest,494,3,37,534
whisper-large-v3-turbo,tax,1046,8,78,1132
whisper-large-v3-turbo,adjusted,1329,0,154,1483
whisper-large-v3-turbo,cost,1834,28,146,2008
whisper-large-v3-turbo,annual,529,0,44,573
whisper-large-v3-turbo,capital,1487,7,136,1630
whisper-large-v3-turbo,growth,5295,27,292,5614
whisper-large-v3-turbo,dividend,805,6,132,943
whisper-large-v3-turbo,cash,2915,22,237,3174
whisper-large-v3-turbo,debt,1013,3,55,1071
whisper-large-v3-turbo,guidance,1376,19,159,1554
whisper-large-v3-turbo,ebitda,1998,3,203,2204
whisper-large-v3-turbo,shares,372,0,30,402
whisper-large-v3-turbo,monthly,113,0,3,116
whisper-large-v3-turbo,loss,378,0,54,432
whisper-large-v3-turbo,liability,88,3,3,94
whisper-large-v3-turbo,estimate,207,0,16,223
whisper-large-v3-turbo,return,498,3,21,522
whisper-large-v3-turbo,stock,302,1,21,324
whisper-large-v3-turbo,profit,1133,6,70,1209
whisper-large-v3-turbo,equity,571,7,62,640
whisper-large-v3-turbo,unit,302,3,20,325
whisper-large-v3-turbo,asset,408,7,37,452
whisper-large-v3-turbo,forecast,371,3,95,469
whisper-large-v3-turbo,ratio,752,1,47,800
whisper-large-v3-turbo,ebit,298,0,13,311
whisper-large-v3-turbo,valuation,36,0,3,39
GPT-4o mini Transcribe,earnings,782,3,125,910
GPT-4o mini Transcribe,fiscal,1113,0,43,1156
GPT-4o mini Transcribe,sales,3251,6,212,3469
GPT-4o mini Transcribe,revenue,3181,1,216,3398
GPT-4o mini Transcribe,margin,2545,4,182,2731
GPT-4o mini Transcribe,price,1031,6,117,1154
GPT-4o mini Transcribe,operating,2090,7,128,2225
GPT-4o mini Transcribe,expenses,1092,0,88,1180
GPT-4o mini Transcribe,net,3632,6,322,3960
GPT-4o mini Transcribe,income,1970,4,211,2185
GPT-4o mini Transcribe,interest,464,0,40,504
GPT-4o mini Transcribe,tax,1021,0,90,1111
GPT-4o mini Transcribe,adjusted,1360,0,103,1463
GPT-4o mini Transcribe,cost,1813,13,127,1953
GPT-4o mini Transcribe,annual,515,0,48,563
GPT-4o mini Transcribe,capital,1482,0,123,1605
GPT-4o mini Transcribe,growth,5265,11,246,5522
GPT-4o mini Transcribe,dividend,798,6,136,940
GPT-4o mini Transcribe,cash,2879,7,240,3126
GPT-4o mini Transcribe,debt,994,0,53,1047
GPT-4o mini Transcribe,guidance,1421,15,99,1535
GPT-4o mini Transcribe,ebitda,1933,0,171,2104
GPT-4o mini Transcribe,shares,385,0,23,408
GPT-4o mini Transcribe,monthly,113,0,3,116
GPT-4o mini Transcribe,loss,373,0,50,423
GPT-4o mini Transcribe,liability,94,0,0,94
GPT-4o mini Transcribe,estimate,217,0,6,223
GPT-4o mini Transcribe,return,504,3,18,525
GPT-4o mini Transcribe,stock,291,0,22,313
GPT-4o mini Transcribe,profit,1074,0,79,1153
GPT-4o mini Transcribe,equity,594,3,30,627
GPT-4o mini Transcribe,unit,302,0,21,323
GPT-4o mini Transcribe,asset,398,1,34,433
GPT-4o mini Transcribe,forecast,377,0,91,468
GPT-4o mini Transcribe,ratio,728,0,34,762
GPT-4o mini Transcribe,ebit,293,0,19,312
GPT-4o mini Transcribe,valuation,36,0,3,39
