word,gt_snippet,whisper_snippet,folder
gonna,coming out of january which we certainly believe we re gonna be better than that as we roll into fy21 i,rate coming out of january which we certainly believe we re going to be better than that on the store,
gonna,general statement that s correct i think certainly you re gonna have markets that will exceed the average and you ll,tires into brakes as a result of that as it relates to the downstream effect i think certainly more harsh,
gonna,a skew level and by having that visibility it s gonna create a much more granular approach that we re gonna,a skew level by having that visibility it s going to create a much more granular approach that we re,
gonna,gonna create a much more granular approach that we re gonna use for pricing uh it ll allows us to price,to create a much more granular approach that we re going to use for pricing it allows us to price,
gonna,in in q3 we didn t expect that we were gonna have to talk about a headwind uh and we really,do that in q3 we didn t expect that we were going to have to talk about a headwind related,
gonna,on tires and full service i think you re not gonna see us migrate to a tire only category as a,on tires and full service i think you re not going to see us migrate to a tire only category,
gonna,as we increase our total business uh certainly we were gonna pick up a little more exposure to tires as we,as we increase our total business certainly we re we re gonna pick up a little more exposure to tires,
gonna,uh the modest changes in the first quarter clearly are gonna play out as we go through the course of the,modest changes in the first quarter clearly are going to play out as we go through the course of the,
gonna,uh dynamic uh certainly as we go forward we re gonna be updating uh those uh those adjustments and again w,dynamic certainly as we go forward again we would expect that we would see more of that given what the,
gonna,detail business by business um and acknowledge that we re gonna see a uh a more challenging uh second quarter here,of the april detail business by business and acknowledge that we re gonna see a more challenging second quarter here,
gonna,know that this that the combination of these factors is gonna create pressure for us um a force here in the,know that the combination of these factors it s going to create pressure for us for us here in the,
gonna,short term i think we re acknowledging that we re gonna see shop visits and csa billings uh take on some,short term i think we re acknowledging that we re going to see shop visits and csa buildings take on,
gonna,yeah i i know i guess how much is that gonna cost you i mean like you know to come up,companies kind of won for one how much is this stuff going to cost you this year on a cash,
gonna,one for one uh what how much is this stuff gonna cost you this year on a cash basis yeah i,of won for one how much is this stuff going to cost you this year on a cash basis i,
gonna,i think what we have said um previously we were gonna be down off of last year from a uh from,i think much of what we re seeing in aviation broadly it will be pushed out for a few years,
gonna,cash perspective i think we re we re uh probably gonna end up more or less in line right keep in,a cash basis i think we re probably going to end up more or less in line right in mind,
gonna,of that um there s no question that we re gonna continue to see the pressure on uh on cash at,and the near that we re going to continue to see the pressure on cash and aviation that we ve,
gonna,um than than any other indicator and those cycles are gonna have to come back uh before the passengers do uh,we are a cycles business much more so than any other indicator and those cycles are before the passengers do,
gonna,you know obviously 2020 s a tough year we re gonna have some cash burn 2021 unclear but certainly doesn t,to follow up obviously 2020 is a tough year so as we emerge from this we re going to have,
gonna,but certainly doesn t seem like in aviation we re gonna have a strong recovery um any so so as we,in aviation and we may be for a while we wish it were otherwise but that s not our reality,
gonna,any so so as we emerge from this we re gonna have you know more leverage and i i guess the,so as we emerge from this we re going to have more leverage and i guess the question is you,
gonna,that is no please carolina i i was i was gonna say that to do things that we haven t done,s a lot that is no please carolina and i was going to say that to do things that we,
gonna,of the things we did in april clearly it s gonna take us a a a while longer here to hit,that we took the modest changes in the first quarter clearly are going to play out as we go through,
gonna,of doing anything new or different i think we re gonna continue to try to run these businesses as as best,but i think we ve got line of sight to build on some of the temporary actions sure that we,
gonna,right we we came into this year knowing we were gonna have to adjust to a different schedule um with the,right we came into this year knowing we were going to have to adjust to a different schedule with of,
gonna,in the quarter so that that s where we re gonna be most focused trying to make sure that we reduce,the quarter so that s where we re gonna be most focused trying to make sure that we reduce the,
gonna,things play out from uh from here uh we re gonna acknowledge that uncertainty hence the uh the the the the,full effect it s uncertain as to how things play out from here we re gonna acknowledge that uncertainty but,
gonna,the pulling of the guide uh but we re not gonna sit back and hope that it all passes we re,but we re not going to sit back and hope that it all passes i m not going to take,
gonna,back and hope that it all passes we re not gonna take the view that uh we ve got a sharp,and hope that it all passes i m not going to take the view that we ve got a sharp,
gonna,and the three billion of of cash actions we re gonna do everything we possibly can uh to to control our,about and the 3 billion of cash actions we re going to do everything we possibly can to control our,
gonna,want to be well positioned for it because it s gonna be very good business for ge for for um decades,want to be well positioned for it because it s going to be a very good business for ge for,
gonna,of an unknown duration but it s it s not gonna be measured in months right where that business is gonna,here of an unknown duration but it s not going to be measured in months where that business is going,
gonna,gonna be measured in months right where that business is gonna be under considerable pressure so after uh uh a period,going to be measured in months where that business is going to be under considerable pressure it has grown as,
gonna,it has the last the last decade uh this is gonna give us an opportunity to uh to rethink to re,it has the last decade this is going to give us an opportunity to rethink to consolidate all the while,
gonna,anywhere from five to 15 and those heavier headwinds are gonna come in businesses like like beckman diagnostics leica biosystem a,as there should be but if you go down to environmental and applied solutions you ve got some interesting businesses,
gonna,though we re ramping up with beckman and we re gonna have some capacity here our view is that it s,though we re ramping up with beckman and we re going to have some capacity here our view is too,
gonna,here have here on travel so right now we re gonna focus on obviously a good deal of rebranding work that,here on travel so right now we re going to focus on obviously a good deal of rebranding work that,
gonna,rebranding work that we need to do um we re gonna stand it up as a standalone operating company execute on,deal of rebranding work that we need to do to stand it up as a standalone operating company execute on,
gonna,he brings to this role and uh he s just gonna do a fantastic job so um we uh we all,incredibly supportive and constructive around this all along he s just going to do a fantastic job so we all,
gonna,i think as we see the future here you re gonna you re gonna look clinicians are gonna be look looking,and i think as we see the future here opportunity in doing flu testing to also be doing covid 19,
gonna,we see the future here you re gonna you re gonna look clinicians are gonna be look looking for the opportunity,as we see the future here opportunity in doing flu testing to also be doing covid 19 testing and i,
gonna,here you re gonna you re gonna look clinicians are gonna be look looking for the opportunity in doing flu testing,in flu testing and i think as we see the future here opportunity in doing flu testing to also be,
gonna,so in that install base has grown you re also gonna see that install base driving not only covid 19 testing,as that install base has grown you re also going to see that install base driving only covid 19 testing,
gonna,that run on the cepheid architecture and so that s gonna benefit as well so we think there s exceptional durability,that run on the cepheid architecture and so that s gonna benefit as well so we think there s exceptional,
gonna,see serology evolving over time is you re it s gonna be primarily driven obviously with the blood draw and you,see serology evolving over time is you re it s gonna be primarily driven obviously with a blood draw and,
gonna,primarily driven obviously with the blood draw and you re gonna see the serology test the igg tests integrated into more,primarily driven obviously with a blood draw and you re going to see the serology test the igg test integrated,
gonna,routine testing and therefore um the cost per test is gonna be quite reasonable um and it s gonna be in,routine testing and therefore to be in line with other immunoassay tests and so while we talk about the capacity,
gonna,test is gonna be quite reasonable um and it s gonna be in line with other immunoassay tests and uh so,the igg test integrated into more routine testing and therefore to be in line with other immunoassay tests and so,
gonna,the fact that um serology testing that igg test is gonna become more of a standard um in basic testing when,the fact that serology testing that igg test is going to become more of a standard in basic testing when,
gonna,exceptional positions there with uh with folks that are likely gonna be part of the future therapy um and or um,exceptional positions there with folks that are likely going to be part of the the future therapy and or vaccine,
gonna,the two of us but you know vijay you re gonna have plenty of time to uh to ask rainer that,the two of us in terms of what we value but you know reiner will put his own mark on,
gonna,am supremely confident that that mark on daneber danaher is gonna be an outstanding one and an indelible one that s,i am supremely confident that that mark on danaher is going to be an outstanding and an indelible one that,
gonna,and even with the you know what we think is gonna be a pretty solid performance at at cytiva and pall,and even with the you know what we think it s going to be pretty solid performance at cytiva and,
gonna,we re also doing it in a way that s gonna make us more resilient as we go forward so i,doing it in a way that s going to make us even more resilient as we go forward so i,
gonna,so as we think about the amount that we are gonna spend between now and the next call um that s,so as we think about the amount that we are going to spend between now and the next call that,
gonna,know it s a busy earnings day uh we re gonna be around throughout the rest of the day and we,know it s a busy earnings day we re going to be around throughout the rest of the day and,
gonna,future holds um a lot of that s you know gonna depend o um for sure but we know we ll,doing to come to the provision we also see a lot of you know tailwinds i m sorry we see,
gonna,of recession here who knows how long inaudible opportunity is gonna inaudible few deploy capital more toward the m and a,of recession here who knows how long next couple of years and are you positioned for that today and any,
gonna,long term term and our plan is that it s gonna be down for a while uh and and to the,of long term requirements our plan is that it s going to be down for a while and to the,
gonna,and a a apply that to a forward sales are gonna be down 30 and the serv does not believe i,apply that to a forward sales are going to be down 30 of the service as i don t believe,
gonna,into the spring we pushed out the increase that was gonna be a strong move in april and we re monitoring,spring we pushed out the increase that was going to be a strong move in april and we re monitoring,
gonna,at this point and looking forward to see what s gonna happen the rest of this month thank you bill inaudible,at this point it s kind of hard to predict when that might occur because at this point we thought,
gonna,opportunity as it presents itself uh we think it s gonna be much bigger going forward but the the reality is,opportunity as it presents itself we think it s going to be much bigger going forward but the reality is,
gonna,by 10 10 to 15 per ton so that s gonna have also a positive uh impact on the cost of,by 10 to 15 per ton so that s going to have also a positive impact in the cost of,
gonna,i think you re correct we feel like we re gonna see more of that as the year goes on because,i think you re correct i feel like we re going to see more of that as the year goes,
gonna,chris so i ll start with the markets and then gonna of translate it into what it can mean for the,in aerospace in the second half of the year i would translate all that into what it means for the,
gonna,uh in the businesses that it you know it s gonna so packaging for example where we had some benefit in,in the businesses that you know it s gonna so packaging for example where we had some benefit in q2,
gonna,operations uh we do expect some of that cost is gonna come back right so um you know i d say,we do expect some of that cost is going to come back right so you know i d say it,
gonna,quite interesting in the future and i think it s gonna help us inject more brain and talent uh remotely with,quite interesting in the future and i think it s going to help help us inject more brain and talent,
gonna,significantly down so now so the the pain we re gonna take in the second half i think is not going,also in the past on the fact that we re in it for the long haul and i think it,
gonna,t think we need the money so we re not gonna to pay a lot of uh interest for it yeah,of reduction i think we were able to kind of live without a lot of that going forward so yeah,
gonna,the end of the day so i hope it s gonna be uh it s gonna materialize into and the older,the end of the day it s a call that we have to make it jointly with them as i,
gonna,so i hope it s gonna be uh it s gonna materialize into and the older book we have is going,business in our space that are going to be quite interesting in the future and i think it s going,
gonna,we re give given the relative stability we re not gonna quantify the pieces but essentially those are the pieces okay,given the relative stability we re not going to quantify the pieces it s actually those are the pieces okay,
gonna,it s dan i i don t think we re gonna give the pluses and the minuses but within the within,stan i don t think we re going to give the pluses and the minuses related charges and while that,
gonna,and commercial multi peril in the quarter we re not gonna do that elyse they re all pretty modest okay thank,and commercial multi parallel in the quarter david mote mathan with evercar please go ahead and dan i guess i,
gonna,we don t know you know when when we re gonna have a vaccine we don t know you know what,trajectory of the disease we don t know when we re going to have a vaccine we don t know,
gonna,you adjusted premium to reflect what um what it s gonna look like for the year yeah so so i wouldn,ones where you adjusted premium kind of to reflect what s going to look like the year so i wouldn,
gonna,speed with which you want to decarbonize is what i gonna ultimately drive the final uh i think policy choices and,speed with which you want to decarbonize is what is going to ultimately drive the final i think policy choices,
gonna,s premature really to say what we think uh is gonna happen cause i think you have an election in four,soon to tell michael i think a lot is going to depend on what happens in the election and is,
gonna,what happens post the election in terms of what s gonna be uh uh the policy when inaudible going for great,what happens in the election and is there continued split government or is there not split government and what we,
