variant,token,correct,missing,substituted,total,error_rate
whisper-small,ounces,42,69,6,117,0.641025641025641
GPT-4o mini Transcribe,ounces,51,57,9,117,0.5641025641025641
GPT-4o mini Transcribe,ninety,45,6,48,99,0.5454545454545454
whisper-small,202,25,6,21,52,0.5192307692307692
whisper-large-v3-turbo,ounces,57,42,18,117,0.5128205128205128
whisper-large-v3-turbo,202,26,5,21,52,0.5
whisper-large-v3-turbo,ninety,51,12,36,99,0.48484848484848486
whisper-large-v3-turbo,cents,367,105,167,639,0.4256651017214398
whisper-small,ninety,57,12,30,99,0.4242424242424242
GPT-4o mini Transcribe,cents,396,78,163,637,0.37833594976452123
whisper-small,comparison,58,15,18,91,0.3626373626373627
whisper-small,201,39,9,13,61,0.360655737704918
whisper-small,variance,33,15,3,51,0.3529411764705882
GPT-4o mini Transcribe,340,45,24,0,69,0.34782608695652173
whisper-small,340,45,24,0,69,0.34782608695652173
whisper-large-v3-turbo,201,41,4,16,61,0.3278688524590164
whisper-small,gold,37,18,0,55,0.32727272727272727
whisper-small,rs,69,15,18,102,0.32352941176470584
GPT-4o mini Transcribe,201,39,3,15,57,0.3157894736842105
whisper-small,implying,39,15,3,57,0.3157894736842105
whisper-small,yield,53,21,3,77,0.3116883116883117
whisper-small,commodity,36,10,6,52,0.3076923076923077
whisper-large-v3-turbo,340,48,18,3,69,0.30434782608695654
whisper-small,cents,447,79,113,639,0.3004694835680751
GPT-4o mini Transcribe,meeting,57,12,12,81,0.2962962962962963
whisper-large-v3-turbo,49,59,15,9,83,0.28915662650602414
whisper-large-v3-turbo,historical,37,9,6,52,0.28846153846153844
GPT-4o mini Transcribe,amortization,38,6,9,53,0.28301886792452835
whisper-large-v3-turbo,millions,76,27,3,106,0.28301886792452835
whisper-large-v3-turbo,bottom,51,10,10,71,0.2816901408450704
whisper-small,sustaining,69,18,9,96,0.28125
whisper-small,attributable,129,38,12,179,0.2793296089385475
GPT-4o mini Transcribe,trillion,322,114,9,445,0.2764044943820225
whisper-small,trillion,322,90,33,445,0.2764044943820225
GPT-4o mini Transcribe,reals,48,15,3,66,0.2727272727272727
GPT-4o mini Transcribe,20.7,40,15,0,55,0.2727272727272727
whisper-large-v3-turbo,reals,48,9,9,66,0.2727272727272727
GPT-4o mini Transcribe,gold,40,12,3,55,0.2727272727272727
whisper-small,reals,48,18,0,66,0.2727272727272727
whisper-large-v3-turbo,shareholder,48,12,6,66,0.2727272727272727
whisper-large-v3-turbo,trillion,325,105,15,445,0.2696629213483146
whisper-small,consideration,38,11,3,52,0.2692307692307693
whisper-large-v3-turbo,guide,49,12,6,67,0.26865671641791045
whisper-small,62,41,0,15,56,0.2678571428571429
whisper-small,shareholders,130,36,11,177,0.2655367231638418
whisper-small,deposits,50,15,3,68,0.2647058823529411
whisper-large-v3-turbo,thing,50,12,6,68,0.2647058823529411
whisper-large-v3-turbo,comparison,67,18,6,91,0.2637362637362637
whisper-small,copper,42,6,9,57,0.26315789473684215
whisper-small,zloty,60,15,6,81,0.2592592592592593
